artist,artist_id,popularity,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Bon Jovi,58lV9VcRSjABbAbfWS6skp,8,Slippery When Wet,Livin' On A Prayer,0J6mQxEZnlRt9ymzFntA6z,0.534,0.887,0,-3.777,1,0.0345,9.93e-05,0.325,0.72,122.494,249293,4
Bon Jovi,58lV9VcRSjABbAbfWS6skp,0,Bon Jovi Greatest Hits,Wanted Dead Or Alive,4Zj9VM4fO1KwkU3lFaECsW,0.257,0.819,7,-3.562,1,0.0422,0.015,0.324,0.267,150.354,308560,4
Queen,1dfeR4HaWDbWqFHLkxsg1d,64,News Of The World (Deluxe Remastered Version),We Are The Champions - Remastered 2011,7ccI9cStQbQdystvc6TvxD,0.268,0.459,7,-6.948,0,0.0346,0.0,0.119,0.172,64.223,179200,4
Queen,1dfeR4HaWDbWqFHLkxsg1d,69,News Of The World (Deluxe Remastered Version),We Will Rock You - Remastered 2011,54flyrjcdnQdco7300avMJ,0.693,0.497,2,-7.316,1,0.119,0.0,0.258,0.473,81.308,122067,4
Bon Jovi,58lV9VcRSjABbAbfWS6skp,0,Cross Road,You Give Love A Bad Name,7LBJui5MdjfCd8YZr4xaqA,0.556,0.945,0,-4.347,0,0.0496,3.68e-06,0.394,0.781,122.875,224307,4
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,0,Let's Dance (1999 Remaster),Let's Dance - 1999 Remaster,0F0MA0ns8oXwGw66B2BSXm,0.619,0.703,10,-9.414,0,0.0525,0.205,0.163,0.709,115.043,457133,4
Bon Jovi,58lV9VcRSjABbAbfWS6skp,72,Bon Jovi,Runaway,0X1sqQ652p1sceKM2nJlIJ,0.475,0.899,9,-4.321,0,0.0637,1.91e-05,0.14,0.603,152.445,230667,4
Various Artists,3Y3xIwWyq5wnNHPp5gPjOW,73,Footloose (15th Anniversary Collectors' Edition),"Footloose - From ""Footloose"" Soundtrack",2vz1CsL5WBsbpBcwgboTAw,0.583,0.905,2,-6.132,1,0.0733,0.00019,0.0593,0.646,173.982,226827,4
Metallica,2ye2Wgw4gimLv2eAKyk1NB,5,Metallica,Enter Sandman,1hKdDCpiI9mqz1jVHRKG0E,0.579,0.824,6,-8.71,0,0.03,0.00903,0.059,0.635,123.331,331573,4
Journey,0rvjqX7ttXeg3mTy8Xscbt,72,The Essential Journey,Don't Stop Believin',77NNZQSqzLNqh2A9JhLRkg,0.491,0.802,4,-7.106,1,0.0392,0.0,0.387,0.472,119.25,248907,4
Journey,0rvjqX7ttXeg3mTy8Xscbt,61,The Essential Journey,Any Way You Want It,2DyHhPyCZgZzNXn1IrtsTu,0.519,0.934,7,-7.137,1,0.0471,0.00457,0.137,0.586,138.162,201867,4
Rammstein,6wWVKhxIU2cEi0K81v7HvP,0,Sehnsucht,Du hast,5r2BUVszy94ZNnE3SKkzBW,0.656,0.919,9,-6.288,0,0.0465,0.0956,0.331,0.738,125.069,234227,4
Muse,12Chz98pHFMPJEknJQMWvI,75,The Resistance,Uprising,4VqPOruhp5EdPBeR92t6lQ,0.602,0.905,2,-4.046,1,0.0775,0.064,0.117,0.411,128.019,304840,4
Europe,7Js6Lde8thlIHXggv2SCBz,78,The Final Countdown (Expanded Edition),The Final Countdown,3MrRksHupTVEQ7YbA0FsZK,0.529,0.843,6,-6.908,0,0.0616,0.000827,0.0608,0.188,117.662,310333,4
Europe,7Js6Lde8thlIHXggv2SCBz,30,The Final Countdown (Expanded Edition),On the Loose,2lhHjoMq7L4wMuI1NrNuK2,0.418,0.902,9,-6.374,0,0.0669,0.0,0.0549,0.578,164.302,188093,4
Europe,7Js6Lde8thlIHXggv2SCBz,32,The Final Countdown (Expanded Edition),Love Chaser,7LlHo4b4VSWpNju2LfCdjE,0.559,0.868,4,-5.135,0,0.0361,0.0,0.466,0.461,101.801,207600,4
KISS,07XSN3sPlIlB2L2XNcTwJw,0,Dynasty (Remastered Version),I Was Made For Lovin' You,2ZSCy3P1QzpJySCWA6NRIU,0.768,0.852,4,-6.215,1,0.038,7.45e-05,0.0723,0.867,128.374,271240,4
Bonnie Tyler,0SD4eZCN4Kr0wQk56hCdh2,0,Ravishing - The Best Of,Total Eclipse of the Heart,5p34sF7EskpzTuW3RGy9fs,0.428,0.644,8,-7.582,1,0.0628,0.0,0.119,0.113,129.432,270547,4
George Thorogood & The Destroyers,4n31svBA9GGIYxGxgrQaRK,71,BAD TO THE BONE,Bad To The Bone,6s0NHplywwr1IjnQpUpWJk,0.459,0.727,0,-11.777,1,0.0303,0.0652,0.384,0.955,149.231,292173,1
Eagles,0ECwFtbIWEVNwjlrfc6xoL,83,Hotel California (2013 Remaster),Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv,0.579,0.508,2,-9.484,1,0.027,0.000494,0.0575,0.609,147.125,391376,4
Scorpions,27T030eWyCQRmDyuvr1kxY,0,Love At First Sting,Rock You Like A Hurricane,0XIvZ82aDF7JiSi3ZE320u,0.482,0.601,7,-12.846,1,0.0486,0.000187,0.249,0.774,125.619,252493,4
Amon Amarth,3pulcT2wt7FEG10lQlqDJL,62,Twilight Of The Thunder God,Twilight Of The Thunder God,5u3l2TONYacJgmRPQVaF9y,0.374,0.92,6,-4.653,1,0.0501,0.026,0.0802,0.278,191.014,248747,4
Various Artists,3vLHHLcJnVDoKOyKYdH1g6,0,ReCovered Hits Volume 2,I Love Rock 'n' Roll,0p20xyAdYkaxAPWdXr0sir,0.762,0.482,4,-4.35,0,0.0734,3.26e-06,0.0802,0.684,94.009,177087,4
Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,0,H2O,Maneater,4aKIs5t9TqP59btlCGPrgw,0.727,0.685,11,-7.159,0,0.0398,4.43e-05,0.0973,0.812,88.75,271893,4
